query_partner,act_id,date_celebration,year,subject,is_principal
Uruguai,5591,2006-03-16,2006,Consulares e Migratórios,True
Uruguai,5592,2006-03-16,2006,Cooperação e Desenvolvimento,True
Uruguai,5413,2005-07-29,2005,"Fronteira, Infraestrutura e Integração Regional",True
Uruguai,5345,2005-04-01,2005,Serviços e Transporte,True
Uruguai,5346,2005-04-01,2005,"Agricultura, Pecuária e Pesca",True
Uruguai,5347,2005-04-01,2005,Educação e Cultura,True
Uruguai,5348,2005-04-01,2005,Energia e Recursos Estratégicos,True
Uruguai,5349,2005-04-01,2005,"Agricultura, Pecuária e Pesca",True
Uruguai,5350,2005-04-01,2005,Cooperação e Desenvolvimento,True
Uruguai,5261,2004-11-18,2004,"Economia, Finanças e Tributos",True
Uruguai,5232,2004-09-14,2004,Serviços e Transporte,True
Uruguai,5230,2004-09-02,2004,"Direito, Justiça & Segurança Pública",True
Uruguai,5161,2004-04-14,2004,"Direito, Justiça & Segurança Pública",True
Uruguai,4995,2003-07-31,2003,"Trabalho, Saúde e Previdência",True
Uruguai,4983,2003-06-24,2003,Cooperação e Desenvolvimento,True
Uruguai,4978,2003-06-18,2003,"Trabalho, Saúde e Previdência",True
Uruguai,4922,2002-10-22,2002,"Direito, Justiça & Segurança Pública",True
Uruguai,4882,2002-08-21,2002,Cooperação e Desenvolvimento,True
Uruguai,4883,2002-08-21,2002,"Fronteira, Infraestrutura e Integração Regional",True
Uruguai,4884,2002-08-21,2002,Relações Diplomáticas e Consulares,True
Uruguai,4885,2002-08-21,2002,Cooperação e Desenvolvimento,True
Uruguai,4695,2000-12-27,2000,Cooperação e Desenvolvimento,True
Uruguai,4684,2000-11-21,2000,"Fronteira, Infraestrutura e Integração Regional",True
