sample_id,sample_label,anchor_id,anchor_label,anchor_type,year,period,n_resolutions,mean_brazil_china_agreement,mean_brazil_anchor_agreement,mean_relative_agreement_china_minus_anchor,mean_brazil_china_similarity,mean_brazil_anchor_similarity,mean_relative_similarity_china_minus_anchor,mean_anchor_valid_members
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2005,Pre-2009,20,0.75,0.75,0,0.8,0.875,-0.07500000000000002,18.55
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2006,Pre-2009,25,0.68,0.8,-0.12,0.78,0.91,-0.13,18.96
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2007,Pre-2009,25,0.72,0.8,-0.08,0.8200000000000001,0.9,-0.07999999999999997,18.44
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2008,Pre-2009,24,0.7083333333333334,0.75,-0.041666666666666664,0.8333333333333334,0.8958333333333334,-0.0625,18.291666666666668
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2009,Post-2009,22,0.7727272727272727,0.7727272727272727,0,0.8863636363636364,0.9090909090909091,-0.022727272727272745,18.59090909090909
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2010,Post-2009,21,0.8571428571428571,0.9047619047619048,-0.047619047619047616,0.8809523809523809,0.9761904761904762,-0.09523809523809518,18.476190476190474
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2011,Post-2009,24,0.7916666666666666,0.8333333333333334,-0.041666666666666664,0.875,0.9166666666666666,-0.04166666666666667,18.5
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,latin_america_peers,"Latin American peer modal vote excluding Brazil, non-Caribbean",bloc_modal,2012,Post-2009,19,0.8421052631578947,0.8947368421052632,-0.05263157894736842,0.8947368421052632,0.9473684210526315,-0.05263157894736845,18.894736842105264
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,russia,Russia,individual,2005,Pre-2009,20,0.75,0.6,0.15,0.8,0.75,0.049999999999999975,1
human_rights_china_usa_divergent,Human-rights votes where China and the United States diverged,russia,Russia,individual,2006,Pre-2009,27,0.6666666666666666,0.5555555555555556,0.1111111111111111,0.7777777777777778,0.7407407407407407,0.037037037037037084,1
