iso3c,treated_unit,first_treated_year,n_years,cor_bsv_dm,mean_abs_diff,mean_bsv_pre,mean_dm_pre,mean_bsv_treated,mean_dm_treated,within_change_bsv,within_change_dm
BHR,FALSE,NA,31,0.554741438409205,0.20275312894433278,0.32410358064516126,0.37964893046025083,NA,NA,NA,NA
UGA,FALSE,NA,31,0.563115325088044,0.20271437615305912,0.3857967674193548,0.3964569983912767,NA,NA,NA,NA
BLZ,FALSE,NA,31,0.8883113612284489,0.20238033212967832,0.44768288238709675,0.6011018831359017,NA,NA,NA,NA
VCT,FALSE,NA,31,0.8622407489327092,0.2020084021230743,0.48733174051612915,0.5978270152656688,NA,NA,NA,NA
DZA,FALSE,NA,31,0.44483601903785436,0.2018604777746375,0.4969650451612903,0.4168319998783352,NA,NA,NA,NA
JAM,FALSE,NA,31,0.8814662965681163,0.20183720122537616,0.39106704761290323,0.5547109630753413,NA,NA,NA,NA
AFG,FALSE,NA,31,0.44769473289657163,0.2016169298588702,0.2903041483870968,0.3037710243032068,NA,NA,NA,NA
LSO,FALSE,NA,31,0.7277276002005486,0.20015620973308254,0.2710442774193549,0.4067008956732312,NA,NA,NA,NA
BGD,FALSE,NA,31,0.5704777434270126,0.20014142739083596,0.32980564193548384,0.25335928514759554,NA,NA,NA,NA
SWZ,FALSE,NA,31,0.831669768021482,0.19973359849586506,0.41489458999999995,0.490232833381964,NA,NA,NA,NA
DMA,FALSE,NA,31,0.9185236450624992,0.1993490332169934,0.4420702358064516,0.5982891702093232,NA,NA,NA,NA
FJI,FALSE,NA,31,0.905423428039518,0.1970649406240542,0.6702514554193548,0.8048890630816816,NA,NA,NA,NA
KHM,FALSE,NA,27,0.8383556818859721,0.19669649645682183,0.42817409074074075,0.392708173144087,NA,NA,NA,NA
ARE,FALSE,NA,31,0.6290267106233636,0.1959723340972712,0.3127432451612904,0.35589262711833375,NA,NA,NA,NA
MUS,FALSE,NA,31,0.8136452103021777,0.1954685103959379,0.40534774258064515,0.5375876691094418,NA,NA,NA,NA
IND,FALSE,NA,31,0.6415675067779151,0.19364382815354392,0.2402264935483871,0.3563065827139944,NA,NA,NA,NA
DJI,FALSE,NA,31,0.6114083769568786,0.192874771165788,0.3126847032258065,0.33232921926334136,NA,NA,NA,NA
CIV,FALSE,NA,31,0.866722325198166,0.19131094563437928,0.5113480577419355,0.6764413824261124,NA,NA,NA,NA
MAR,FALSE,NA,31,0.7342262436506275,0.1904047726285392,0.3271347677419355,0.35369172384045305,NA,NA,NA,NA
TUR,FALSE,NA,31,0.8995135830639047,0.18997552688301686,1.3703946741935484,1.519635428332667,NA,NA,NA,NA
BTN,FALSE,NA,31,0.7036694027940515,0.18946136028319643,0.33172920645161286,0.45564415232052763,NA,NA,NA,NA
LCA,FALSE,NA,31,0.8610259351652074,0.18669635317343203,0.3631179516129032,0.48586938943851654,NA,NA,NA,NA
STP,FALSE,NA,22,0.346933667915621,0.18638757777942716,0.23844374090909093,0.3924635834817541,NA,NA,NA,NA
USA,FALSE,NA,31,0.9123984490166738,0.18574306487886844,3.522318319354839,3.613444503413757,NA,NA,NA,NA
MWI,FALSE,NA,31,0.8597249807168754,0.18563553595666196,0.5011753803225807,0.6485834979450195,NA,NA,NA,NA
COM,FALSE,NA,31,0.7494605543346389,0.18495655808756448,0.3291129641935484,0.3377694980049289,NA,NA,NA,NA
CPV,FALSE,NA,31,0.7219824666636073,0.18461592277220126,0.36310006451612903,0.47256441924207665,NA,NA,NA,NA
NGA,FALSE,NA,31,0.59459972447341225,0.1844138534900986,0.31351652258064516,0.3378681948519305,NA,NA,NA,NA
BRN,FALSE,NA,31,0.6105315209742809,0.181595784791691,0.34376189677419355,0.22562566480429536,NA,NA,NA,NA
GNB,FALSE,NA,28,0.665834859564392,0.1807731047401687,0.32013952500000004,0.37376613853820306,NA,NA,NA,NA
BLR,FALSE,NA,29,0.9394592867863006,0.17813513044790089,0.6495441779310345,0.67820418346514,NA,NA,NA,NA
EGY,FALSE,NA,31,0.6728753734948562,0.17655287341671957,0.6121305612903226,0.5232879196644582,NA,NA,NA,NA
NPL,FALSE,NA,31,0.7706761689800238,0.17627600799950913,0.3469958870967742,0.4054111308759257,NA,NA,NA,NA
SYR,FALSE,NA,31,0.8769436289889204,0.17425671653850447,0.8509675225806452,0.8033879197657823,NA,NA,NA,NA
AZE,FALSE,NA,29,0.9274074341910297,0.1716377088460971,0.7022556340689655,0.7580596022999649,NA,NA,NA,NA
KEN,FALSE,NA,31,0.8401955364622318,0.16935302663180296,0.3654468580645161,0.437719964148313,NA,NA,NA,NA
MDG,FALSE,NA,31,0.7570402322525752,0.16529010106038475,0.39761670516129033,0.48960820969360924,NA,NA,NA,NA
SUR,FALSE,NA,31,0.8671241344229783,0.16202813166327504,0.3609496041935484,0.37903352166139637,NA,NA,NA,NA
TJK,FALSE,NA,28,0.9540948721831508,0.1606037804282961,0.7196404471428571,0.7849563723869007,NA,NA,NA,NA
SGP,FALSE,NA,31,0.8539591343823276,0.1554368339428593,0.4488932193548387,0.5278468286843608,NA,NA,NA,NA
NER,FALSE,NA,27,0.7143516443461931,0.15469072157163766,0.30089365925925926,0.3019313706275039,NA,NA,NA,NA
LKA,FALSE,NA,31,0.4764424900229591,0.14156653864875118,0.28679786451612904,0.24899271973690965,NA,NA,NA,NA
TGO,FALSE,NA,31,0.8707665244881183,0.14137904271329962,0.36956336870967743,0.48031578937889546,NA,NA,NA,NA
PAK,FALSE,NA,31,0.6695426301497573,0.11549216662469848,0.2214672,0.2576465263366266,NA,NA,NA,NA
