"country","year","ideal_point"
"TCD",2003,1.89363585866397
"TGO",2003,2.10671412432017
"THA",2003,0.694789549494322
"TJK",2003,0.260996255557928
"TKM",2003,1.47289926327573
"TLS",2003,0.401565545747632
"TON",2003,0.280858624263189
"TTO",2003,1.22301423915233
"TUN",2003,3.6215227717792
"TUR",2003,-1.99787032795974
"TUV",2003,-1.25796489977733
"TZA",2003,1.66332856281736
"UGA",2003,1.47106329021886
"UKR",2003,-2.87860556067299
"URY",2003,0.114253588967279
"USA",2003,-2.14707123050132
"UZB",2003,-0.801775181899071
"VCT",2003,1.01288443744499
"VEN",2003,0.970499246334709
"VNM",2003,1.92748415529493
"VUT",2003,1.37273915576062
"WSM",2003,0.272471096506848
"YEM",2003,3.94155724964383
"ZAF",2003,1.96379454988559
"ZMB",2003,1.70664929910486
"ZWE",2003,2.07818076161973
"AFG",2004,1.68316422588806
"AGO",2004,1.54597930664012
"ALB",2004,-2.38493963260237
"AND",2004,-2.89825548282519
"ARE",2004,4.0986476038694
"ARG",2004,-0.0620877278996373
"ARM",2004,-1.94423925807818
"ATG",2004,0.328956855634725
"AUS",2004,-3.72411520559031
"AUT",2004,-6.7856089395776
"AZE",2004,-1.32772112706909
"BDI",2004,1.71279261491915
"BEL",2004,-6.6337613879921
"BEN",2004,1.57843819648914
"BFA",2004,1.78225802367553
"BGD",2004,3.49696323717754
"BGR",2004,-4.97779252934094
"BHR",2004,4.1367295585493
"BHS",2004,1.57145158964871
"BIH",2004,-0.0269619899469663
"BLR",2004,-0.70238998150108
"BLZ",2004,1.41026929334328
"BOL",2004,0.773437557672056
"BRA",2004,-0.00606092583553167
"BRB",2004,1.64533438795525
"BRN",2004,3.31733844790459
"BTN",2004,1.66217974319787
"BWA",2004,1.52798102241887
"CAF",2004,1.40649840736802
"CAN",2004,-5.01301837384413
"CHE",2004,-3.6829024405925
"CHL",2004,0.502502407106417
"CHN",2004,0.437858129586933
"CIV",2004,1.37132503962062
"CMR",2004,1.55906090271634
"COD",2004,1.80779435185454
"COG",2004,1.68214082548448
"COL",2004,1.12706940653576
"COM",2004,3.70865441759412
"CPV",2004,1.308284348284
"CRI",2004,0.0444698724782943
"CUB",2004,3.51333079845692
"CYP",2004,-3.05742525072924
"CZE",2004,-5.95008713594166
"DEU",2004,-5.7807270904067
"DJI",2004,3.94666392231289
"DMA",2004,0.350203115839317
"DNK",2004,-6.69687417556096
"DOM",2004,0.883800466311383
"DZA",2004,4.19383468982165
"ECU",2004,0.803968898810152
"EGY",2004,4.76422777253662
"ERI",2004,1.70305002588724
"ESP",2004,-6.56346855860741
"EST",2004,-4.75850913094448
"ETH",2004,1.6846538210699
"FIN",2004,-6.83968899246404
"FJI",2004,0.219518678211282
"FRA",2004,-6.13697245465188
"FSM",2004,0.181032238630714
"GAB",2004,1.5456496169896
"GBR",2004,-6.57960843234752
"GEO",2004,-1.81791214501684
"GHA",2004,1.50005617242993
"GIN",2004,3.06010235444407
"GMB",2004,1.76772528071707
"GNB",2004,1.78872478900086
"GNQ",2004,1.79198217691677
"GRC",2004,-6.45235688700261
"GRD",2004,1.34884842831357
"GTM",2004,0.653594295116021
"GUY",2004,1.51891737429788
"HND",2004,1.08121344704136
"HRV",2004,-4.5589918253247
"HTI",2004,0.243559432265501
"HUN",2004,-6.28216028310258
"IDN",2004,3.85148653597993
"IND",2004,1.38663629611987
"IRL",2004,-6.25625337602464
"IRN",2004,2.52241909287901
"IRQ",2004,3.13985639749626
"ISL",2004,-4.1995277340453
"ISR",2004,-1.80396943783215
"ITA",2004,-6.45939338848915
"JAM",2004,1.41442321733111
"JOR",2004,3.65640313055095
"JPN",2004,-2.98062142231182
"KAZ",2004,-1.45035757606772
"KEN",2004,1.55357994215713
"KGZ",2004,-1.40980634396816
"KHM",2004,1.64939984278798
"KIR",2004,0.323140662845602
"KNA",2004,0.341816600220078
"KOR",2004,-2.58457858046786
"KWT",2004,3.92443314765107
"LAO",2004,2.4080938454418
"LBN",2004,2.6981673784486
"LBR",2004,1.44031690872004
"LBY",2004,2.82896072685914
"LCA",2004,1.46771733384921
"LIE",2004,-3.79506825390064
"LKA",2004,1.75656393852085
"LSO",2004,1.71141236066684
"LTU",2004,-5.48244723722688
"LUX",2004,-5.9537322113734
"LVA",2004,-5.02838407662936
"MAR",2004,3.54568095986407
"MCO",2004,-3.23026651999446
"MDA",2004,-3.08032293233966
"MDG",2004,1.73972299203119
"MDV",2004,1.65058052743006
"MEX",2004,-1.37782064782062
"MHL",2004,0.245619834245288
"MKD",2004,-4.29435415659363
"MLI",2004,2.57984322213598
"MLT",2004,-2.03333688501445
"MMR",2004,2.02681909440842
"MNE",2004,-1.27291961915917
"MNG",2004,1.00282560318638
"MOZ",2004,1.63991405672799
"MRT",2004,3.210945371577
"MUS",2004,1.67657825532308
"MWI",2004,1.67672283937987
"MYS",2004,3.89635989991641
"NAM",2004,3.165599254958
"NER",2004,1.7349766468156
"NGA",2004,1.73739416228137
"NIC",2004,0.90440244352458
"NLD",2004,-7.16024552274976
"NOR",2004,-5.45021734143619
"NPL",2004,1.62406376443483
"NRU",2004,0.23406631590061
