min_duration_years,sample,iso3c,country_name,cs_role_min5,ever_treated,treated_years,untreated_years,first_treat,first_year_in_panel,last_year_in_panel
3,risk_set_restricted,ERI,Eritrea,treated_min5,TRUE,9,21,2014,1993,2022
3,risk_set_restricted,ESP,Spain,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,EST,Estonia,never_treated,FALSE,0,31,,1992,2022
3,risk_set_restricted,FIN,Finland,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,FJI,Fiji,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,FRA,France,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,FSM,Micronesia (Federated States of),never_treated,FALSE,0,31,,1991,2022
3,risk_set_restricted,GAB,Gabon,treated_min5,TRUE,6,27,2017,1990,2022
3,risk_set_restricted,GBR,United Kingdom,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,GEO,Georgia,never_treated,FALSE,0,30,,1993,2022
3,risk_set_restricted,GMB,Gambia,treated_min5,TRUE,6,21,2011,1990,2017
3,risk_set_restricted,GNB,Guinea-Bissau,never_treated,FALSE,0,30,,1990,2022
3,risk_set_restricted,GNQ,Equatorial Guinea,treated_min5,TRUE,9,17,2013,1995,2022
3,risk_set_restricted,GRC,Greece,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,GRD,Grenada,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,GTM,Guatemala,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,GUY,Guyana,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,HND,Honduras,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,HRV,Croatia,never_treated,FALSE,0,31,,1992,2022
3,risk_set_restricted,HTI,Haiti,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,HUN,Hungary,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,IDN,Indonesia,treated_min5,TRUE,7,25,2016,1990,2022
3,risk_set_restricted,IND,India,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,IRL,Ireland,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,IRN,Iran,treated_min5,TRUE,13,17,2007,1990,2019
3,risk_set_restricted,IRQ,Iraq,treated_min5,TRUE,7,15,2014,1990,2022
3,risk_set_restricted,ISL,Iceland,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,ISR,Israel,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,ITA,Italy,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,JAM,Jamaica,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,JOR,Jordan,never_treated,FALSE,0,33,,1990,2022
3,risk_set_restricted,JPN,Japan,treated_min5,TRUE,15,18,2008,1990,2022
3,risk_set_restricted,KAZ,Kazakhstan,treated_min5,TRUE,16,15,2007,1992,2022
