metric,min_duration_years,specification,event_time,count,att,se,ci_lo,ci_hi
m2_goods_exports_itpde,3,switching_allowed,20,1,-0.4939028267503729,0.04094331277538496,-0.5741517197901274,-0.41365393371061837
m2_goods_exports_itpde,5,clean_single_spell,-27,1,-0.04670792372959687,0.046571241700384576,-0.13798755746235064,0.044571710003156906
m2_goods_exports_itpde,5,clean_single_spell,-26,2,-0.0916987476317179,0.07040731088078517,-0.22969707695805683,0.046299581694621034
m2_goods_exports_itpde,5,clean_single_spell,-25,2,-0.03006993023890081,0.03654702361034792,-0.10170209651518274,0.041562236037381114
m2_goods_exports_itpde,5,clean_single_spell,-24,2,-0.07247651028104574,0.1324529184441961,-0.33208423043167007,0.1871312098695786
m2_goods_exports_itpde,5,clean_single_spell,-23,3,0.02552232755446171,0.14508320595407176,-0.25884075611551893,0.30988541122444235
m2_goods_exports_itpde,5,clean_single_spell,-22,6,-0.06376864524217682,0.06584306032428243,-0.19282104347777038,0.06528375299341674
m2_goods_exports_itpde,5,clean_single_spell,-21,7,0.14555910472057526,0.03070908449498806,0.08536929911039867,0.20574891033075185
m2_goods_exports_itpde,5,clean_single_spell,-20,8,0.010955880179736394,0.05666336985184887,-0.10010432472988738,0.12201608508936017
m2_goods_exports_itpde,5,clean_single_spell,-19,10,0.03775564102020272,0.052737625437767305,-0.06561010483782119,0.14112138687822662
m2_goods_exports_itpde,5,clean_single_spell,-18,13,-0.03502373360369751,0.04556155532932891,-0.12432438204918217,0.05427691484178715
m2_goods_exports_itpde,5,clean_single_spell,-17,17,-0.03444341053788731,0.03766748356354095,-0.10827167832242758,0.03938485724665296
m2_goods_exports_itpde,5,clean_single_spell,-16,19,-0.0052534256747819195,0.03789193627696378,-0.07952162077763092,0.06901476942806709
m2_goods_exports_itpde,5,clean_single_spell,-15,20,0.008517627950501493,0.036801626315417765,-0.06361355962771732,0.08064881552872032
m2_goods_exports_itpde,5,clean_single_spell,-14,23,0.0019354719094095878,0.025608532248077562,-0.04825725129682243,0.05212819511564161
m2_goods_exports_itpde,5,clean_single_spell,-13,23,-0.04062891888198573,0.04083310713349083,-0.12066180886362776,0.0394039710996563
m2_goods_exports_itpde,5,clean_single_spell,-12,24,0.008341466282238742,0.04045506394947803,-0.0709504590587382,0.08763339162321568
m2_goods_exports_itpde,5,clean_single_spell,-11,25,-0.028912609561267025,0.024818186702206792,-0.07755625549759233,0.019731036375058283
m2_goods_exports_itpde,5,clean_single_spell,-10,25,-0.015793446845459858,0.0317529671013507,-0.07802926236410723,0.04644236867318751
m2_goods_exports_itpde,5,clean_single_spell,-9,25,0.03648489986651543,0.02776456336978386,-0.017933644338260932,0.09090344407129179
m2_goods_exports_itpde,5,clean_single_spell,-8,25,0.02576120214979141,0.036814614730804315,-0.04639544272258504,0.09791784702216787
m2_goods_exports_itpde,5,clean_single_spell,-7,25,-0.003994104202558777,0.02855873949923043,-0.059969233621050416,0.05198102521593287
m2_goods_exports_itpde,5,clean_single_spell,-6,24,-0.009887068694382311,0.030991716307932366,-0.07063083265792974,0.05085669526916513
m2_goods_exports_itpde,5,clean_single_spell,-5,25,0.017883995843246975,0.027224651057190068,-0.03547632022884556,0.0712443119153395
m2_goods_exports_itpde,5,clean_single_spell,-4,25,0.011864560370113013,0.03448204474126187,-0.05572024732276024,0.07944936806298628
m2_goods_exports_itpde,5,clean_single_spell,-3,25,-0.005234644130677256,0.03188337909030126,-0.06772606714766773,0.05725677888631322
m2_goods_exports_itpde,5,clean_single_spell,-2,25,0.025225763822788093,0.027600245286854105,-0.02887071693944595,0.07932224458502213
m2_goods_exports_itpde,5,clean_single_spell,-1,25,-0.017093409177161834,0.031931928227698796,-0.07967998850345147,0.04549317014912781
m2_goods_exports_itpde,5,clean_single_spell,0,25,4.7981699467382734e-4,0.02514937801211883,-0.04881296390907908,0.04977259789842674
m2_goods_exports_itpde,5,clean_single_spell,1,25,-0.058769915014634265,0.035066634788010684,-0.12750051919913521,0.009960689169866678
m2_goods_exports_itpde,5,clean_single_spell,2,25,-0.05605095417742615,0.03709669638939791,-0.12876047910064606,0.01665857074579375
m2_goods_exports_itpde,5,clean_single_spell,3,25,-0.09654225973992141,0.03915091228251816,-0.173278047813657,-0.01980647166618582
m2_goods_exports_itpde,5,clean_single_spell,4,25,-0.11862720030421654,0.04187956980885242,-0.20071115712956727,-0.0365432434788658
m2_goods_exports_itpde,5,clean_single_spell,5,25,-0.16307182072035106,0.03477956042563879,-0.2312397591546031,-0.09490388228609904
m2_goods_exports_itpde,5,clean_single_spell,6,24,-0.1800220845480279,0.06194818139356601,-0.3014405200794173,-0.05860364901663852
