min_duration_years,audit_role,iso3c,country_name,first_year_in_panel,last_year_in_panel,trade_years_observed,ever_observed_china_top,first_observed_china_top_year,n_observed_china_top_periods,n_qualifying_periods,n_short_eligible_periods,n_pre_min_entry_periods,n_no_clean_prior_periods,longest_observed_china_top_period,first_qualifying_entry,sample,ever_treated,treated_years,untreated_years,first_treat
3,never_china_top_control,CZE,Czechia,1993,2023,30,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,30,
3,never_china_top_control,DEU,Germany,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,DJI,Djibouti,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,DMA,Dominica,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,DNK,Denmark,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,DOM,Dominican Republic,1990,2023,31,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,31,
3,never_china_top_control,DZA,Algeria,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,ECU,Ecuador,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,EGY,Egypt,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,ESP,Spain,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,EST,Estonia,1991,2023,31,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,31,
3,never_china_top_control,FIN,Finland,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,FJI,Fiji,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,FRA,France,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,FSM,Micronesia (Federated States of),1991,2023,31,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,31,
3,never_china_top_control,GBR,United Kingdom,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,GEO,Georgia,1993,2023,30,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,30,
3,never_china_top_control,GNB,Guinea-Bissau,1990,2023,30,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,30,
3,never_china_top_control,GRC,Greece,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,GRD,Grenada,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,GTM,Guatemala,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,GUY,Guyana,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,HND,Honduras,1990,2023,33,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,33,
3,never_china_top_control,HRV,Croatia,1992,2023,31,FALSE,,0,0,0,0,0,0,,risk_set_restricted,FALSE,0,31,
