metric,iso3c,country_name,year,partner_iso3,partner_name,value_musd,partner_rank
goods_services_exports_rank,BRA,Brazil,2014,CHN,China,53251.99554399999,1
goods_services_exports_rank,BRA,Brazil,2014,USA,United States,38411.51961900001,2
goods_services_exports_rank,BRA,Brazil,2014,JPN,Japan,10287.619678000001,5
goods_services_exports_rank,BRA,Brazil,2015,CHN,China,45987.31135300001,1
goods_services_exports_rank,BRA,Brazil,2015,USA,United States,34334.84440300001,2
goods_services_exports_rank,BRA,Brazil,2015,JPN,Japan,8032.783461999999,5
goods_services_exports_rank,BRA,Brazil,2016,CHN,China,47704.547982000004,1
goods_services_exports_rank,BRA,Brazil,2016,USA,United States,31477.010893000013,2
goods_services_exports_rank,BRA,Brazil,2016,JPN,Japan,7231.812321000001,5
goods_services_exports_rank,BRA,Brazil,2017,CHN,China,60527.46926600001,1
goods_services_exports_rank,BRA,Brazil,2017,USA,United States,35096.93529499999,2
goods_services_exports_rank,BRA,Brazil,2017,JPN,Japan,7661.045431999999,5
goods_services_exports_rank,BRA,Brazil,2018,CHN,China,79467.85780999999,1
goods_services_exports_rank,BRA,Brazil,2018,USA,United States,35973.960200999994,2
goods_services_exports_rank,BRA,Brazil,2018,JPN,Japan,7467.534227,5
goods_services_exports_rank,BRA,Brazil,2019,CHN,China,81883.109898,1
goods_services_exports_rank,BRA,Brazil,2019,USA,United States,36882.94186499999,2
goods_services_exports_rank,BRA,Brazil,2019,JPN,Japan,8426.831272000001,4
goods_services_exports_rank,BRA,Brazil,2020,CHN,China,86843.403085,1
goods_services_exports_rank,BRA,Brazil,2020,USA,United States,29123.023253999996,2
goods_services_exports_rank,BRA,Brazil,2020,JPN,Japan,7813.075315000004,4
goods_services_exports_rank,BRA,Brazil,2021,CHN,China,111545.74745900003,1
goods_services_exports_rank,BRA,Brazil,2021,USA,United States,38129.648961,2
goods_services_exports_rank,BRA,Brazil,2021,JPN,Japan,10305.646301999997,4
goods_services_exports_rank,BRA,Brazil,2022,CHN,China,101049.224015,1
goods_services_exports_rank,BRA,Brazil,2022,USA,United States,46512.95198199999,2
goods_services_exports_rank,BRA,Brazil,2022,JPN,Japan,10333.010501,5
goods_services_two_way_rank,BRA,Brazil,2005,USA,United States,48013.516941,1
goods_services_two_way_rank,BRA,Brazil,2005,CHN,China,16363.806990000003,3
goods_services_two_way_rank,BRA,Brazil,2005,JPN,Japan,8814.846037,5
goods_services_two_way_rank,BRA,Brazil,2006,USA,United States,54749.130007,1
goods_services_two_way_rank,BRA,Brazil,2006,CHN,China,22165.508935000005,2
goods_services_two_way_rank,BRA,Brazil,2006,JPN,Japan,10019.856812000002,5
goods_services_two_way_rank,BRA,Brazil,2007,USA,United States,61619.846022,1
goods_services_two_way_rank,BRA,Brazil,2007,CHN,China,32843.959166,2
goods_services_two_way_rank,BRA,Brazil,2007,JPN,Japan,11879.052439,5
goods_services_two_way_rank,BRA,Brazil,2008,USA,United States,77671.03472699999,1
goods_services_two_way_rank,BRA,Brazil,2008,CHN,China,52633.59822899998,2
goods_services_two_way_rank,BRA,Brazil,2008,JPN,Japan,17512.858873999998,5
goods_services_two_way_rank,BRA,Brazil,2009,USA,United States,61053.52518699999,1
goods_services_two_way_rank,BRA,Brazil,2009,CHN,China,46231.81504599998,2
goods_services_two_way_rank,BRA,Brazil,2009,JPN,Japan,13076.291552,6
goods_services_two_way_rank,BRA,Brazil,2010,USA,United States,77582.08254500001,1
goods_services_two_way_rank,BRA,Brazil,2010,CHN,China,67039.171764,2
goods_services_two_way_rank,BRA,Brazil,2010,JPN,Japan,18543.864233999997,5
goods_services_two_way_rank,BRA,Brazil,2011,USA,United States,96285.88503200002,1
goods_services_two_way_rank,BRA,Brazil,2011,CHN,China,88820.39321799998,2
goods_services_two_way_rank,BRA,Brazil,2011,JPN,Japan,22448.208815,5
goods_services_two_way_rank,BRA,Brazil,2012,USA,United States,98404.434279,1
goods_services_two_way_rank,BRA,Brazil,2012,CHN,China,90246.55748300001,2
goods_services_two_way_rank,BRA,Brazil,2012,JPN,Japan,21405.785054999997,5
goods_services_two_way_rank,BRA,Brazil,2013,USA,United States,98395.83421800002,1
goods_services_two_way_rank,BRA,Brazil,2013,CHN,China,95771.32750999999,2
goods_services_two_way_rank,BRA,Brazil,2013,JPN,Japan,19924.151073,6
goods_services_two_way_rank,BRA,Brazil,2014,USA,United States,100419.61998600002,1
goods_services_two_way_rank,BRA,Brazil,2014,CHN,China,93437.957678,2
goods_services_two_way_rank,BRA,Brazil,2014,JPN,Japan,17277.173916,6
goods_services_two_way_rank,BRA,Brazil,2015,USA,United States,85636.840716,1
goods_services_two_way_rank,BRA,Brazil,2015,CHN,China,78666.374388,2
goods_services_two_way_rank,BRA,Brazil,2015,JPN,Japan,13902.221313,6
goods_services_two_way_rank,BRA,Brazil,2016,USA,United States,76567.35471500002,1
goods_services_two_way_rank,BRA,Brazil,2016,CHN,China,72613.805049,2
goods_services_two_way_rank,BRA,Brazil,2016,JPN,Japan,11536.254189000001,6
goods_services_two_way_rank,BRA,Brazil,2017,CHN,China,90168.892052,1
goods_services_two_way_rank,BRA,Brazil,2017,USA,United States,87131.61567299998,2
goods_services_two_way_rank,BRA,Brazil,2017,JPN,Japan,12600.148337999999,6
goods_services_two_way_rank,BRA,Brazil,2018,CHN,China,116726.28491199999,1
goods_services_two_way_rank,BRA,Brazil,2018,USA,United States,94040.01516899999,2
goods_services_two_way_rank,BRA,Brazil,2018,JPN,Japan,13312.741066,6
goods_services_two_way_rank,BRA,Brazil,2019,CHN,China,120003.422104,1
goods_services_two_way_rank,BRA,Brazil,2019,USA,United States,96785.477052,2
goods_services_two_way_rank,BRA,Brazil,2019,JPN,Japan,14055.122975000002,6
goods_services_two_way_rank,BRA,Brazil,2020,CHN,China,124196.145719,1
goods_services_two_way_rank,BRA,Brazil,2020,USA,United States,75254.59549899999,2
goods_services_two_way_rank,BRA,Brazil,2020,JPN,Japan,12671.670350000004,6
goods_services_two_way_rank,BRA,Brazil,2021,CHN,China,165749.43959000005,1
goods_services_two_way_rank,BRA,Brazil,2021,USA,United States,98784.237693,2
goods_services_two_way_rank,BRA,Brazil,2021,JPN,Japan,16403.073351,5
goods_services_two_way_rank,BRA,Brazil,2022,CHN,China,166743.766602,1
goods_services_two_way_rank,BRA,Brazil,2022,USA,United States,126260.16102599999,2
goods_services_two_way_rank,BRA,Brazil,2022,JPN,Japan,16777.958941,6
