specification,weight_rank,iso3c,country_name,unit_weight
predetermined_plus_primary_level,55,FIN,Finland,0.008929208822869293
predetermined_plus_primary_level,56,NLD,Netherlands,0.008874836875830431
predetermined_plus_primary_level,57,COM,Comoros,0.0086294991273
predetermined_plus_primary_level,58,UGA,Uganda,0.0084657071449802
predetermined_plus_primary_level,59,SEN,Senegal,0.008408002714513417
predetermined_plus_primary_level,60,GRC,Greece,0.00827000143806743
predetermined_plus_primary_level,61,PAN,Panama,0.008240499150702936
predetermined_plus_primary_level,62,ISR,Israel,0.008166943162722108
predetermined_plus_primary_level,63,PRT,Portugal,0.008067758217912143
predetermined_plus_primary_level,64,ITA,Italy,0.007853277011033855
predetermined_plus_primary_level,65,SVK,Slovakia,0.0077779690319191115
predetermined_plus_primary_level,66,MAR,Morocco,0.007345126694438545
predetermined_plus_primary_level,67,MDA,Moldova,0.007314339668994032
predetermined_plus_primary_level,68,BTN,Bhutan,0.006180104059926066
predetermined_plus_primary_level,69,GBR,United Kingdom,0.005925567982923338
predetermined_plus_primary_level,70,USA,United States,0.004362713843041326
predetermined_plus_primary_level,71,LKA,Sri Lanka,0.0037994650857946987
predetermined_plus_primary_level,72,BWA,Botswana,0.003099522542656143
predetermined_plus_primary_level,73,IRL,Ireland,0.0030196313890154037
predetermined_plus_primary_level,74,CAN,Canada,0.0029700253282427635
predetermined_plus_primary_level,75,LBY,Libya,0.002313984648223628
predetermined_plus_primary_level,76,ARE,United Arab Emirates,8.59783073180355e-4
predetermined_plus_primary_level,77,FRA,France,5.960347928886219e-4
predetermined_plus_primary_level,78,BGD,Bangladesh,5.052978493828714e-4
predetermined_plus_primary_level,79,BHR,Bahrain,4.403143999589389e-4
predetermined_plus_primary_level,80,BLR,Belarus,4.403143999589389e-4
predetermined_plus_primary_level,81,CIV,Côte d’Ivoire,4.403143999589389e-4
predetermined_plus_primary_level,82,CPV,Cape Verde,4.403143999589389e-4
predetermined_plus_primary_level,83,ECU,Ecuador,4.403143999589389e-4
predetermined_plus_primary_level,84,EGY,Egypt,4.403143999589389e-4
predetermined_plus_primary_level,85,GAB,Gabon,4.403143999589389e-4
predetermined_plus_primary_level,86,GHA,Ghana,4.403143999589389e-4
predetermined_plus_primary_level,87,GIN,Guinea,4.403143999589389e-4
predetermined_plus_primary_level,88,KWT,Kuwait,4.403143999589389e-4
predetermined_plus_primary_level,89,MDG,Madagascar,4.403143999589389e-4
predetermined_plus_primary_level,90,MEX,Mexico,4.403143999589389e-4
predetermined_plus_primary_level,91,NGA,Nigeria,4.403143999589389e-4
predetermined_plus_primary_level,92,RWA,Rwanda,4.403143999589389e-4
predetermined_plus_primary_level,93,SWZ,Eswatini,4.403143999589389e-4
predetermined_plus_primary_level,94,UKR,Ukraine,4.403143999589389e-4
predetermined_plus_primary_level,95,VEN,Venezuela,4.403143999589389e-4
predetermined_plus_primary_gfc_2008_2009,1,MLT,Malta,0.03145228253890104
predetermined_plus_primary_gfc_2008_2009,2,GEO,Georgia,0.03063355193269626
predetermined_plus_primary_gfc_2008_2009,3,GTM,Guatemala,0.026718944557280154
predetermined_plus_primary_gfc_2008_2009,4,TCD,Chad,0.025982222525711446
predetermined_plus_primary_gfc_2008_2009,5,PRY,Paraguay,0.02512603686788236
predetermined_plus_primary_gfc_2008_2009,6,ALB,Albania,0.022037939145570666
predetermined_plus_primary_gfc_2008_2009,7,COL,Colombia,0.02177614283764009
predetermined_plus_primary_gfc_2008_2009,8,DOM,Dominican Republic,0.0216723544292384
predetermined_plus_primary_gfc_2008_2009,9,IND,India,0.0215512612988546
predetermined_plus_primary_gfc_2008_2009,10,TUR,Turkey,0.02077379092502374
predetermined_plus_primary_gfc_2008_2009,11,DEU,Germany,0.020687578116641327
predetermined_plus_primary_gfc_2008_2009,12,BOL,Bolivia,0.020574049755041405
predetermined_plus_primary_gfc_2008_2009,13,FJI,Fiji,0.018952009436175806
predetermined_plus_primary_gfc_2008_2009,14,AZE,Azerbaijan,0.018571330067878766
predetermined_plus_primary_gfc_2008_2009,15,CRI,Costa Rica,0.01816631201311253
predetermined_plus_primary_gfc_2008_2009,16,HTI,Haiti,0.01674194437790744
predetermined_plus_primary_gfc_2008_2009,17,CYP,Cyprus,0.016361369744074983
predetermined_plus_primary_gfc_2008_2009,18,ARG,Argentina,0.01588892730739068
