specification,year_end,iso3c,estimate,rmspe_pre,status,error
predetermined_core,2015,IRL,-0.07231502365420812,0.04319814159784595,estimated,
predetermined_core,2015,ISL,-0.0910380178643526,0.05632434362755677,estimated,
predetermined_core,2015,ISR,0.05479908771232651,0.06215196254157653,estimated,
predetermined_core,2015,ITA,0.007128568560865929,0.05807132691870626,estimated,
predetermined_core,2015,JAM,0.0752934242522178,0.055693639871574975,estimated,
predetermined_core,2015,JOR,0.015236584891438778,0.13846683338591273,estimated,
predetermined_core,2015,KEN,-0.037611411698003715,0.09457623813509719,estimated,
predetermined_core,2015,KWT,-0.004723188949434707,0.10789372814548381,estimated,
predetermined_core,2015,LBN,0.16084191156776442,0.19489379031473678,estimated,
predetermined_core,2015,LBY,-0.5691911074998354,0.16713897377330134,estimated,
predetermined_core,2015,LKA,0.04679887023161103,0.08070537496398908,estimated,
predetermined_core,2015,LTU,0.04596236211604374,0.03789006782929926,estimated,
predetermined_core,2015,LVA,7.275782985774288e-4,0.04008423360399999,estimated,
predetermined_core,2015,MAR,0.05351533666300412,0.07826597421432864,estimated,
predetermined_core,2015,MDA,5.407745905804793e-4,0.07589059268732334,estimated,
predetermined_core,2015,MDG,-0.01712572347991056,0.09264327396901546,estimated,
predetermined_core,2015,MDV,0.11655224555869316,0.04505246618276318,estimated,
predetermined_core,2015,MEX,-0.014478415131266596,0.09898635127301658,estimated,
predetermined_core,2015,MLT,-0.07274131732965033,0.09786536201570988,estimated,
predetermined_core,2015,MUS,-0.07431500238149202,0.04780573042921967,estimated,
predetermined_core,2015,MWI,0.0917996729769377,0.15008759988033377,estimated,
predetermined_core,2015,NAM,0.12072254333949456,0.05440626196517452,estimated,
predetermined_core,2015,NGA,-0.037151811686784636,0.16229624691278904,estimated,
predetermined_core,2015,NIC,0.3492718291013535,0.1337851660461333,estimated,
predetermined_core,2015,NLD,0.008611117837031203,0.06509246778419393,estimated,
predetermined_core,2015,NOR,-0.021564147322995726,0.06403158701030053,estimated,
predetermined_core,2015,PAK,-0.04781195765403099,0.06660301733892127,estimated,
predetermined_core,2015,PAN,0.2607573640956782,0.0657868336075477,estimated,
predetermined_core,2015,PNG,0.06335942628401756,0.20038490776898787,estimated,
predetermined_core,2015,POL,0.010675102180492307,0.040282266415370416,estimated,
predetermined_core,2015,PRT,-0.06929452209398797,0.041142076255774075,estimated,
predetermined_core,2015,PRY,-0.018598603390941253,0.07198212131297302,estimated,
predetermined_core,2015,QAT,0.05656226498089239,0.1320472348407359,estimated,
predetermined_core,2015,ROU,-0.04964693242584447,0.03388539777025439,estimated,
predetermined_core,2015,RWA,0.1076365258021203,0.21772106804230443,estimated,
predetermined_core,2015,SEN,0.1040336988072813,0.10158714314477221,estimated,
predetermined_core,2015,SLV,-0.06835971896529132,0.08092870490604978,estimated,
predetermined_core,2015,SUR,0.04059121730602397,0.051709849835110164,estimated,
predetermined_core,2015,SVK,0.015991225941082484,0.037915367372942994,estimated,
predetermined_core,2015,SVN,-0.11438342241517645,0.024912004671313184,estimated,
predetermined_core,2015,SWE,-0.04952224876480065,0.043822432970480295,estimated,
predetermined_core,2015,SWZ,0.030669693847020073,0.11790224111424068,estimated,
predetermined_core,2015,TCD,0.06386694829563963,0.1702767252733294,estimated,
predetermined_core,2015,TGO,0.31142801489632843,0.08065243459386966,estimated,
predetermined_core,2015,TTO,0.06098139797867637,0.052396437511995346,estimated,
predetermined_core,2015,TUN,0.089776461947691,0.11913083683549948,estimated,
predetermined_core,2015,TUR,-0.053008984336443944,0.04562763110884146,estimated,
predetermined_core,2015,UGA,0.035816526306307064,0.16107615091311095,estimated,
predetermined_core,2015,UKR,-0.050957083796210216,0.14958507093274906,estimated,
predetermined_core,2015,USA,-0.2189182355748462,0.06659980704470927,estimated,
predetermined_core,2015,VEN,0.31684049900655387,0.13815478674071538,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,ALB,-0.12418869599419077,0.13811644996264205,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,ARE,0.08006384071425193,0.09362685730252437,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,ARG,-0.2343717778951445,0.05024433462368334,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,AUT,-0.08121994342447135,0.05456792736395111,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,AZE,-0.18464351363193643,0.08442023859448812,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,BGD,0.02536865789703523,0.10067523508572634,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,BGR,-0.004981506075855058,0.05208553926169304,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,BHR,-0.06320227037372715,0.1228510331741269,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,BLR,0.07946023367625493,0.17984278665106326,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,BOL,0.3222910700908818,0.06979745846462594,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,BRA,-0.2839206177098933,0.05882677729773115,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,BRB,0.13382439762406712,0.06144763318566987,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,BTN,-0.013118071303005234,0.09256742126674163,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,BWA,0.0591878634018314,0.09531777672279813,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,CAN,0.2706000092655054,0.10096798925487925,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,CIV,-0.04065335641543272,0.1184058452983416,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,COL,0.1448444408008156,0.09012260615722442,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,COM,-0.03512004984834205,0.07968070994327632,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,CPV,0.028153497873820998,0.08814349863079536,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,CRI,-0.08031988111129189,0.09216169964265979,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,CYP,-0.03922064503211055,0.06472846536588944,estimated,
predetermined_plus_primary_gfc_2008_2009,2015,CZE,0.0656595547169985,0.04545107877131137,estimated,
