metric,metric_label,iso3c,country_name,years_compared,top1_agreement_rate,top2_unordered_agreement_rate,china_top1_status_disagreements_n,china_in_top2_status_disagreements_n,china_in_top2_any_year
goods_services_exports_combined,Bens + serviços: exportações,GAB,Gabon,8,1,0.875,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,GIN,Guinea,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,GTM,Guatemala,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,HUN,Hungary,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,IRN,Iran,8,1,0.875,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,ISR,Israel,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,JAM,Jamaica,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MDG,Madagascar,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MYS,Malaysia,8,1,0.875,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,NER,Niger,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,NOR,Norway,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,RUS,Russia,8,1,0.875,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,SAU,Saudi Arabia,8,1,0.875,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,SUR,Suriname,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,SWZ,Eswatini,8,1,0.875,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,URY,Uruguay,8,1,0.875,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,UZB,Uzbekistan,8,1,0.875,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,ZMB,Zambia,8,1,0.875,0,1,TRUE
goods_services_exports_combined,Bens + serviços: exportações,AND,Andorra,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ARM,Armenia,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,AUS,Australia,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,AUT,Austria,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,AZE,Azerbaijan,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BEL,Belgium,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BGD,Bangladesh,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BLR,Belarus,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BLZ,Belize,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BOL,Bolivia,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,BRA,Brazil,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,BRN,Brunei,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,CAN,Canada,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,CHE,Switzerland,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,COD,Congo - Kinshasa,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,COG,Congo - Brazzaville,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,COL,Colombia,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,CZE,Czechia,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,DNK,Denmark,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,DZA,Algeria,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ECU,Ecuador,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,EST,Estonia,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,FIN,Finland,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,FJI,Fiji,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,FSM,Micronesia (Federated States of),8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,GBR,United Kingdom,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,GNQ,Equatorial Guinea,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,GRD,Grenada,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,HND,Honduras,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,HTI,Haiti,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,IDN,Indonesia,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,IND,India,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,IRL,Ireland,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,IRQ,Iraq,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,ITA,Italy,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,JOR,Jordan,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,JPN,Japan,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,KHM,Cambodia,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,KOR,South Korea,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,LAO,Laos,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,LBY,Libya,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,LKA,Sri Lanka,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,LSO,Lesotho,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,LTU,Lithuania,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,LVA,Latvia,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MAR,Morocco,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MEX,Mexico,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MHL,Marshall Islands,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,MMR,Myanmar (Burma),8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,MNG,Mongolia,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,NAM,Namibia,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,NGA,Nigeria,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,NIC,Nicaragua,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,NLD,Netherlands,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,NPL,Nepal,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,NRU,Nauru,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,NZL,New Zealand,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,PHL,Philippines,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,PLW,Palau,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,PNG,Papua New Guinea,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,PRT,Portugal,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,QAT,Qatar,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,SDN,Sudan,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,SLV,El Salvador,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,SMR,San Marino,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,SSD,South Sudan,1,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,SVK,Slovakia,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,SVN,Slovenia,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,SYR,Syria,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,TCD,Chad,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,THA,Thailand,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,TKM,Turkmenistan,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,TTO,Trinidad & Tobago,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,TUN,Tunisia,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,USA,United States,8,1,1,0,0,FALSE
goods_services_exports_combined,Bens + serviços: exportações,VEN,Venezuela,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,VNM,Vietnam,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,YEM,Yemen,8,1,1,0,0,TRUE
goods_services_exports_combined,Bens + serviços: exportações,ZWE,Zimbabwe,8,1,1,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,RWA,Rwanda,8,0,0,3,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,KIR,Kiribati,8,0.125,0,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,BHR,Bahrain,8,0.125,0.75,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,ISL,Iceland,8,0.25,0.375,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,GMB,Gambia,8,0.25,0.5,1,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,TON,Tonga,8,0.375,0,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,WSM,Samoa,8,0.375,0.625,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,UGA,Uganda,8,0.5,0.125,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,MDV,Maldives,8,0.5,0.375,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,MLT,Malta,8,0.5,0.625,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,AFG,Afghanistan,8,0.625,0.375,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,CAF,Central African Republic,8,0.625,0.5,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,LBN,Lebanon,8,0.625,0.5,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,PAK,Pakistan,8,0.625,0.5,0,3,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,GHA,Ghana,8,0.625,0.75,1,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,GNQ,Equatorial Guinea,8,0.625,0.875,1,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,MUS,Mauritius,8,0.625,0.875,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,IRL,Ireland,8,0.625,1,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,KWT,Kuwait,8,0.75,0.25,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,GIN,Guinea,8,0.75,0.5,2,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,BEN,Benin,8,0.75,0.625,1,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,SUR,Suriname,8,0.75,0.625,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,URY,Uruguay,8,0.75,0.625,0,2,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,KEN,Kenya,8,0.75,0.75,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,SLE,Sierra Leone,8,0.75,0.75,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,CYP,Cyprus,8,0.75,0.875,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,ETH,Ethiopia,8,0.875,0.25,0,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,KNA,St. Kitts & Nevis,8,0.875,0.375,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,MDA,Moldova,8,0.875,0.375,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,SLB,Solomon Islands,8,0.875,0.375,1,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,VUT,Vanuatu,8,0.875,0.375,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,BDI,Burundi,8,0.875,0.5,0,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,DJI,Djibouti,8,0.875,0.5,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,MLI,Mali,8,0.875,0.5,0,2,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,MWI,Malawi,8,0.875,0.5,0,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,TGO,Togo,8,0.875,0.75,1,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,TJK,Tajikistan,8,0.875,0.75,0,2,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,VNM,Vietnam,8,0.875,0.75,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,ALB,Albania,8,0.875,0.875,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,ATG,Antigua & Barbuda,8,0.875,0.875,1,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,BEL,Belgium,8,0.875,0.875,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,BRB,Barbados,8,0.875,0.875,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,CMR,Cameroon,8,0.875,0.875,1,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,FIN,Finland,8,0.875,0.875,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,MRT,Mauritania,8,0.875,0.875,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,SDN,Sudan,8,0.875,0.875,0,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,SGP,Singapore,8,0.875,0.875,1,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,VCT,St. Vincent & Grenadines,8,0.875,0.875,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,BGD,Bangladesh,8,0.875,1,1,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,DEU,Germany,8,0.875,1,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,ESP,Spain,8,0.875,1,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,GAB,Gabon,8,0.875,1,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,HRV,Croatia,8,0.875,1,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,MMR,Myanmar (Burma),8,0.875,1,1,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,NER,Niger,8,0.875,1,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,ROU,Romania,8,0.875,1,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,THA,Thailand,8,0.875,1,1,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,CPV,Cape Verde,8,1,0.125,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,NPL,Nepal,8,1,0.125,0,7,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,GEO,Georgia,8,1,0.25,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,PRK,North Korea,8,1,0.25,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,SOM,Somalia,8,1,0.25,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,MOZ,Mozambique,8,1,0.375,0,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,BLZ,Belize,8,1,0.625,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,CUB,Cuba,8,1,0.625,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,FRA,France,8,1,0.625,0,0,FALSE
goods_services_two_way_combined,Bens + serviços: exportações + importações,SWZ,Eswatini,8,1,0.625,0,1,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,TKM,Turkmenistan,8,1,0.625,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,TZA,Tanzania,8,1,0.625,0,0,TRUE
goods_services_two_way_combined,Bens + serviços: exportações + importações,UKR,Ukraine,8,1,0.625,0,3,TRUE
