iso3c,rcid,year,issue_domain,brazil,post_2009,human_rights_binary,brazil_hr,brazil_post_2009,brazil_post_hr,distance_china_minus_usa,agreement_china_minus_usa,observation_weight
QAT,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ROU,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
RWA,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SGP,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SLV,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SVK,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SVN,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SWE,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TGO,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TTO,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TUN,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TUR,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
UGA,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
UKR,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
VEN,4595,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ARE,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ARG,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
AUT,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
AZE,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BGD,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BGR,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BHR,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BLR,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
BRA,4596,2005,Non-human rights,1,0,0,0,0,0,-2,1,1
BRB,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CAN,4596,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
COL,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
COM,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CRI,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CYP,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
CZE,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
DEU,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
DNK,4596,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
DOM,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
DZA,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ECU,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
EGY,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ESP,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
EST,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
FIN,4596,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
FRA,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
GBR,4596,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
GEO,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
GHA,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GIN,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GRC,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GTM,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
GUY,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
HRV,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
HUN,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
IND,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
IRL,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
ISL,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
ITA,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
JAM,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
JOR,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
KWT,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LBY,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LKA,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
LTU,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
LVA,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
MAR,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MDV,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MEX,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MUS,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
MWI,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NAM,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NGA,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
NLD,4596,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
NOR,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
PAK,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
PAN,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
POL,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
PRT,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
QAT,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ROU,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
RWA,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SGP,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SLV,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SVK,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
SVN,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
SWE,4596,2005,Non-human rights,0,0,0,0,0,0,2,-1,1
TGO,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TTO,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TUN,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
TUR,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
UGA,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
UKR,4596,2005,Non-human rights,0,0,0,0,0,0,0,0,1
VEN,4596,2005,Non-human rights,0,0,0,0,0,0,-2,1,1
ARE,4597,2005,Non-human rights,0,0,0,0,0,0,-1,1,1
ARG,4597,2005,Non-human rights,0,0,0,0,0,0,1,-1,1
AUT,4597,2005,Non-human rights,0,0,0,0,0,0,1,-1,1
